"[[0.0, 0.0], [200.0, 0.0], [200.0, 200.0], [0.0, 200.0]]","[[0.0, 0.0], [200.0, 0.0], [200.0, 200.0], [0.0, 200.0]]","[[100.0, -100.0], [300.0, -100.0], [300.0, 100.0], [300.0, 300.0], [100.0, 300.0], [-100.0, 300.0], [-100.0, 100.0], [-100.0, -100.0]]"
"[[0.0, 0.0], [200.0, 0.0], [200.0, 200.0], [0.0, 200.0]]","[[0.0, 0.0], [280.0, 0.0], [280.0, 180.0], [0.0, 180.0]]","[[100.0, -100.0], [180.0, -100.0], [380.0, -100.0], [380.0, 80.0], [380.0, 100.0], [380.0, 280.0], [180.0, 280.0], [100.0, 280.0], [-100.0, 280.0], [-100.0, 100.0], [-100.0, 80.0], [-100.0, -100.0]]"
"[[0.0, 0.0], [200.0, 0.0], [200.0, 200.0], [0.0, 200.0]]","[[0.0, 0.0], [280.0, 0.0], [140.0, 140.0]]","[[100.0, -100.0], [240.0, 40.0], [240.0, 240.0], [40.0, 240.0], [-40.0, 240.0], [-240.0, 240.0], [-240.0, 40.0], [-100.0, -100.0]]"
"[[0.0, 0.0], [200.0, 0.0], [200.0, 200.0], [0.0, 200.0]]","[[0.0, 180.0], [0.0, 0.0], [280.0, 180.0]]","[[100.0, -100.0], [100.0, 80.0], [100.0, 100.0], [100.0, 280.0], [-100.0, 280.0], [-380.0, 100.0], [-380.0, -100.0], [-180.0, -100.0], [-100.0, -100.0]]"
"[[0.0, 0.0], [200.0, 0.0], [200.0, 200.0], [0.0, 200.0]]","[[0.0, 0.0], [280.0, 0.0], [280.0, 280.0], [0.0, 280.0]]","[[100.0, -100.0], [180.0, -100.0], [380.0, -100.0], [380.0, 100.0], [380.0, 180.0], [380.0, 380.0], [180.0, 380.0], [100.0, 380.0], [-100.0, 380.0], [-100.0, 180.0], [-100.0, 100.0], [-100.0, -100.0]]"
"[[0.0, 0.0], [200.0, 0.0], [200.0, 200.0], [0.0, 200.0]]","[[0.0, 0.0], [200.0, 80.0], [200.0, 180.0], [0.0, 180.0]]","[[100.0, -100.0], [300.0, -100.0], [300.0, 80.0], [300.0, 100.0], [300.0, 280.0], [100.0, 280.0], [-100.0, 200.0], [-100.0, 100.0], [-100.0, 0.0], [-100.0, -100.0]]"
"[[0.0, 0.0], [200.0, 0.0], [200.0, 200.0], [0.0, 200.0]]","[[0.0, 0.0], [100.0, 0.0], [100.0, 180.0], [0.0, 180.0]]","[[0.0, -100.0], [100.0, -100.0], [200.0, -100.0], [200.0, 80.0], [200.0, 100.0], [200.0, 280.0], [100.0, 280.0], [0.0, 280.0], [-100.0, 280.0], [-100.0, 100.0], [-100.0, 80.0], [-100.0, -100.0]]"
"[[0.0, 0.0], [200.0, 0.0], [200.0, 200.0], [0.0, 200.0]]","[[0.0, 0.0], [280.0, 0.0], [280.0, 280.0]]","[[100.0, -100.0], [380.0, 180.0], [380.0, 380.0], [180.0, 380.0], [100.0, 380.0], [-100.0, 380.0], [-100.0, 180.0], [-100.0, 100.0], [-100.0, -100.0]]"
"[[0.0, 0.0], [200.0, 0.0], [200.0, 200.0], [0.0, 200.0]]","[[0.0, 0.0], [200.0, 0.0], [200.0, 200.0], [0.0, 280.0]]","[[100.0, -100.0], [100.0, 100.0], [100.0, 180.0], [100.0, 380.0], [-100.0, 380.0], [-300.0, 380.0], [-300.0, 180.0], [-300.0, -20.0], [-100.0, -100.0]]"
"[[0.0, 0.0], [200.0, 0.0], [200.0, 200.0], [0.0, 200.0]]","[[0.0, 160.0], [80.0, 0.0], [160.0, 160.0]]","[[-60.0, -100.0], [100.0, -100.0], [100.0, 100.0], [20.0, 260.0], [-180.0, 260.0], [-260.0, 100.0], [-260.0, -100.0], [-100.0, -100.0]]"
